symbol
HUNER
HURGZ
HUZFA
HYB
IAZ
ICB
ICBCT
ICUGS
IDGYO
IEYHO
IHAAS
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INALR
INDES
INFO
INGRM
INTEK
INTEM
INVAZ
INVEO
INVES
ISATR
ISBIR
ISBTR
ISCTR
ISDMR
ISFAK
ISFIN
ISGSY
ISGYO
ISKPL
ISKUR
ISMEN
ISSEN
ISTFK
ISTVY
ISYAT
IYF
IYM
IZENR
IZFAS
IZINV
IZMDC
JANTS
KAPLM
KAREL
KARSN
KARTN
KATMR
KATVK
KAYSE
KBORU
KCAER
KCHOL
KENT
KERVN
KFEIN
KFILO
KGYO
KIMMR
KLGYO
KLKIM
KLMSN
KLN
KLNMA
KLRHO
KLSER
KLSYN
KLVKS
KLYPV
KMPUR
KNFRT
KNTFA
KOCFN
KOCMT
KONKA
KONTR
KONYA
KOPOL
KORDS
KORTS
KOTON
KRDMA
KRDMB
KRDMD
KRGYO
KRONT
KRPLS
KRSTL
KRTEK
KRVGD
KSFIN
KSTUR
KTKVK
KTLEV
KTSKR
KTSVK
KUTPO
KUVVA
KUYAS
KZBGY
KZGYO
LIDER
LIDFA
LILAK
LINK
LKMNH
LMKDC
LOGO
LRSHO
LUKSK
LYDHO
LYDYE
MAALT
MACKO
MAGEN
MAKIM
MAKTK
MANAS
MARBL
MARMR
MARTI
MAVI
MBFTR
MCARD
MEDTR
MEGAP
MEGMT
MEKAG
MEKMD
MEPET
MERCN
MERIT
MERKO
METRO
MEYSU
MGROS
MHRGY
MIATK
MINTF
MMCAS
MNDRS
MNDTR
MNGFA
MOBTL
MOGAN
MOPAS
MPARK
MRBAS
MRBKF
MRGYO
MRMAG
MRS
MRSHL
MSA
MSGYO
MTRKS
MTRYO
MZHLD
NATEN
NETAS
NETCD
NIBAS
NRBNK
NTGAZ
NTHOL
NUGYO
NUHCM
NYB
OBAMS
OBASE
ODAS
ODINE
OFSYM
OMD
ONCSM
ONRYT
OPET
ORCAY
ORFIN
ORGE
ORMA
OSMEN
OSTIM
OSVKS
OTKAR
OTOKC
OTOSR
OTTO
OYA
OYAKC
OYAYO
OYLUM
OYYAT
OZATD
OZGYO
OZKGY
OZRDN
OZSUB
OZYSR
PAGYO
PAHOL
PAMEL
PAPIL
PARSN
PASEU
PATEK
PBT
PBTR
PCILT
PEKGY
PENGD
PENTA
PETKM
PETUN
PGSUS
PINSU
PKART
PKENT
PLTUR
PNLSN
PNSUT
POLHO
POLTK
PRDGS
PRFFK
PRKAB
PRKME
PRZMA
PSDTC
PSGYO
QFINF
QNBFF
QNBFK
QNBTR
QNBVK
QUAGR
QUFIN
QYATB
QYHOL
RALYH
RAYSG
REEDR
RGYAS
RNPOL
RODRG
ROYAL
RTALB
RUBNS
RUZYE
RYGYO
RYSAS
SAFKR
SAHOL
SAMAT
SANEL
SANFM
SANKO
SARKY
SARTN
SASA
SAYAS
SDTTR
SEGMN
SEGYO
SEK
SEKFK
SEKUR
SELEC
SELVA
SERNT
SEYKM
SILVR
SISE
SKBNK
SKTAS
SKY
SKYLP
SKYMD
SMART
SMRFA
SMRTG
SMRVA
SNGYO
SNICA
SNPAM
SODSN
SOKE
SOKM
SONME
SRVGY
SUMAS
SUNTK
SURGY
SUWEN
SZUKI
TABGD
TAC
TAMFA
TARKM
TATEN
TATGD
TAVHL
TBORG
TCELL
TCKRC
TCRYT
TDGYO
TEBFA
TEHOL
TEKTU
TERA
TEVKS
TEZOL
TFNVK
TGB
TGSAS
THL
THR
THYAO
TIB
TIMUR
TKFEN
TKNSA
TLMAN
TMPOL
TMSN
TNZTP
TOASO
TRA
TRALT
TRCAS
TRENJ
TRGYO
TRHOL
TRILC
TRKFN
TRKNT
TRMET
TRYKI
TSGYO
TSK
TSKB
TSPOR
TTKOM
TTRAK
TUCLK
TUKAS
TUPRS
TUREX
TURGG
TURSG
TV8TV
TVB
UCAYM
UFUK
ULAS
ULKER
ULUFA
ULUSE
ULUUN
UMPAS
UNLU
USAK
VAKBN
VAKFA
VAKFN
VAKKO
VAKVK
VANGD
VBTYZ
VDFAS
VDFLO
VERTU
VERUS
VESBE
VESTL
VKFYO
VKGYO
VKING
VRGYO
VSNMD
YAPRK
YAT
YATAS
YAYLA
YBQ
YBTAS
YEOTK
YESIL
YFMEN
YGGYO
YGYO
YIGIT
YKB
YKBNK
YKFIN
YKFKT
YKR
YKSLN
YKYAT
YONGA
YUNSA
YYAPI
YYLGD
ZEDUR
ZERGY
ZGYO
ZKBVK
ZKBVR
ZOREN
ZRGYO
