symbol,name,company_id
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,8acae2c47f7cb491017fb5f0afdf174a
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,4028e4a140f2ed7201413a4092720892
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a240f2ef4701413a3410a605ce
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,8acae2c56faf888c0170a0e2d88d77c3
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c48b2fa25a018c01ae7c3973de
BERA,BERA HOLDİNG A.Ş.,4028e4a241733d42014174023cb0192b
BESLR,BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.,4028e4a1416e696301416ec5743e289d
BESTE,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş.,8acae2c49b85f8ce019c0d9c2cc26b56
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,4028e4a141558bdd01415619e62c0577
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,4028e4a140e95bea0140ee30fb6001b9
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,4028e4a24a5df6e7014ba1e60b464173
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,8acae2c486d22a3a0187c6822e7324e6
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,8acae2c49145e00b01949842f70b1a46
BIGTK,BİG MEDYA TEKNOLOJİ A.Ş.,4028e4a240ee866c0140f2066a0400b8
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,4028e4a140e95be70140ee1b7b030119
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,8acae2c49145e00b01922d34585110b6
